id	Rotation	Yield	shannon
#q2:types	categorical	categorical	numeric
M.T1.R2.S1	CC	High	7.98369246764775
M.T1.R2.S2	CC	High	7.19429367311147
M.T1.R2.S3	CC	High	7.42502072375584
M.T2.R2.S1	CCS	Medium-High	7.90340004120406
M.T2.R2.S2	CCS	Medium-High	6.85151713507901
M.T2.R2.S3	CCS	Medium-High	7.31473764048683
M.T3.R2.S1	CS	Medium-Low	7.80054111454179
M.T3.R2.S2	CS	Medium-Low	7.41683840729647
M.T3.R2.S3	CS	Medium-Low	7.21434470265924
M.T4.R2.S1	SCS	Low	7.24152101544415
M.T4.R2.S2	SCS	Low	7.11721275902937
M.T4.R2.S3	SCS	Low	6.8960503167721
M.T1.R1.S1	CC	High	8.01237399842055
M.T1.R1.S2	CC	High	7.52099722481425
M.T1.R1.S3	CC	High	8.00906027852271
M.T1.R3.S1	CC	High	8.17283647055653
M.T1.R3.S2	CC	High	7.18943201100985
M.T1.R3.S3	CC	High	7.78567316670887
M.T1.R4.S1	CC	High	7.17783396693533
M.T1.R4.S2	CC	High	7.38769581864167
M.T1.R4.S3	CC	High	7.9552046821605
M.T2.R1.S1	CCS	Medium-High	8.06861533809074
M.T2.R1.S2	CCS	Medium-High	7.67190372679795
M.T2.R1.S3	CCS	Medium-High	7.29058125310316
M.T2.R3.S1	CCS	Medium-High	7.90871620623191
M.T2.R3.S2	CCS	Medium-High	7.51268044574674
M.T2.R3.S3	CCS	Medium-High	7.74792470122267
M.T2.R4.S1	CCS	Medium-High	7.12938277695089
M.T2.R4.S2	CCS	Medium-High	7.75135991902234
M.T2.R4.S3	CCS	Medium-High	8.22274465962343
M.T3.R1.S1	CS	Medium-Low	7.90797636611239
M.T3.R1.S2	CS	Medium-Low	7.16410412980251
M.T3.R1.S3	CS	Medium-Low	7.34616423606279
M.T3.R3.S1	CS	Medium-Low	7.88363757267802
M.T3.R3.S2	CS	Medium-Low	6.87761653615836
M.T3.R3.S3	CS	Medium-Low	7.28072858555874
M.T3.R4.S1	CS	Medium-Low	7.01500717672112
M.T3.R4.S2	CS	Medium-Low	7.77563242083539
M.T3.R4.S3	CS	Medium-Low	7.55697812680345
M.T4.R1.S1	SCS	Low	7.51218395914964
M.T4.R1.S2	SCS	Low	7.02294414908443
M.T4.R1.S3	SCS	Low	7.34317473903163
M.T4.R3.S1	SCS	Low	7.744723875094
M.T4.R3.S2	SCS	Low	6.60773649587957
M.T4.R3.S3	SCS	Low	7.76235758028264
M.T4.R4.S1	SCS	Low	6.8701824797702
M.T4.R4.S2	SCS	Low	7.82941884405862
M.T4.R4.S3	SCS	Low	7.60219926282154
