id	Rotation	Yield	shannon
#q2:types	categorical	categorical	numeric
U.T1.R2.S1	CC	High	7.4964796303638
U.T1.R2.S2	CC	High	7.47129075565191
U.T1.R2.S3	CC	High	7.15920049171091
U.T2.R2.S1	CCS	Medium-High	7.5559263317692
U.T2.R2.S2	CCS	Medium-High	7.81413322877303
U.T2.R2.S3	CCS	Medium-High	7.101880125491
U.T3.R2.S1	CS	Medium-Low	6.96164674603433
U.T3.R2.S2	CS	Medium-Low	8.07148767687173
U.T3.R2.S3	CS	Medium-Low	7.52839071133249
U.T4.R2.S1	SCS	Low	7.67067711940419
U.T4.R2.S2	SCS	Low	7.72125276511818
U.T4.R2.S3	SCS	Low	7.50562624916838
U.T1.R1.S1	CC	High	7.20721865968605
U.T1.R1.S2	CC	High	7.15570327506293
U.T1.R1.S3	CC	High	7.8282577027993
U.T1.R3.S1	CC	High	7.71310063419708
U.T1.R3.S2	CC	High	7.70015897279003
U.T1.R3.S3	CC	High	7.37746018177859
U.T1.R4.S1	CC	High	7.34740083708844
U.T1.R4.S2	CC	High	8.1967156956661
U.T1.R4.S3	CC	High	7.45038155909238
U.T2.R1.S1	CCS	Medium-High	7.46447352205063
U.T2.R1.S2	CCS	Medium-High	7.2103195846409
U.T2.R1.S3	CCS	Medium-High	7.75537433895211
U.T2.R3.S1	CCS	Medium-High	7.92610369195304
U.T2.R3.S2	CCS	Medium-High	7.43410217039264
U.T2.R3.S3	CCS	Medium-High	7.61487768872938
U.T2.R4.S1	CCS	Medium-High	7.10962530811606
U.T2.R4.S2	CCS	Medium-High	7.61370028873438
U.T2.R4.S3	CCS	Medium-High	7.30024071410824
U.T3.R1.S1	CS	Medium-Low	7.22259083760673
U.T3.R1.S2	CS	Medium-Low	7.42327964591068
U.T3.R1.S3	CS	Medium-Low	8.14437753718071
U.T3.R3.S1	CS	Medium-Low	7.69866410512085
U.T3.R3.S2	CS	Medium-Low	7.87040522510173
U.T3.R3.S3	CS	Medium-Low	6.4275048032732
U.T3.R4.S1	CS	Medium-Low	7.26485865710856
U.T3.R4.S2	CS	Medium-Low	7.65695707125916
U.T3.R4.S3	CS	Medium-Low	7.3830241148711
U.T4.R1.S1	SCS	Low	7.9280591256936
U.T4.R1.S2	SCS	Low	7.18040090550178
U.T4.R1.S3	SCS	Low	8.03788891870399
U.T4.R3.S1	SCS	Low	8.13190237131363
U.T4.R3.S2	SCS	Low	8.02275973884109
U.T4.R3.S3	SCS	Low	6.98663659341239
U.T4.R4.S1	SCS	Low	6.7109526559138
U.T4.R4.S2	SCS	Low	7.09794126849793
U.T4.R4.S3	SCS	Low	7.0540652572161
