Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	T1	T1	T1	T1	T1	T2	T2	T2	T2	T2	T3	T3	T3	T3	T3	T4	T4	T4	T4	T4
k__Fungi;__;__;__;__;__	54.0	1446.75	2917.5	4365.5	7170.0	1374.0	1903.75	2389.0	2729.25	6257.0	1.0	835.0	1473.0	1664.25	3717.0	1.0	759.5	1260.0	1790.0	4235.0
k__Fungi;p__Aphelidiomycota;c__Aphelidiomycetes;o__GS16;f__unidentified;g__unidentified	1.0	1.0	1.0	2.0	23.0	1.0	1.0	1.0	2.0	11.0	1.0	1.0	1.0	1.0	8.0	1.0	1.0	1.0	2.25	21.0
k__Fungi;p__Ascomycota;__;__;__;__	1.0	8.5	27.0	91.25	605.0	1.0	6.0	11.0	30.25	175.0	1.0	3.25	8.0	142.5	1459.0	4.0	12.5	21.5	28.25	294.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;__;__;__	1.0	1.0	1.0	1.0	4209.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	49.0	1.0	1.0	1.0	5.5	33.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Macrophomina	1.0	1.0	1.0	1.0	15.0	1.0	3.25	13.0	24.25	254.0	1.0	1.0	1.0	1.0	7.0	1.0	4.75	9.0	26.0	47.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium	52.0	287.25	442.5	593.0	1177.0	144.0	255.25	291.0	532.25	1259.0	1.0	80.5	126.5	630.0	1091.0	17.0	208.0	264.0	400.75	681.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycosphaerella	1.0	1.0	1.0	2.25	20.0	1.0	1.0	1.0	1.5	16.0	1.0	1.0	1.0	1.0	11.0	1.0	1.0	1.0	1.0	1.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Septoria	1.0	22.25	37.0	69.0	291.0	27.0	48.75	90.5	154.25	312.0	1.0	33.25	104.0	163.75	266.0	1.0	72.5	112.5	228.5	393.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Zymoseptoria	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__unidentified	1.0	1.0	1.0	1.0	8.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae;g__Aureobasidium	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Minutisphaerales;f__Minutisphaeraceae;g__Minutisphaera	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;__;__	26.0	284.5	761.5	1090.0	1610.0	237.0	391.5	509.0	700.0	1374.0	1.0	286.0	427.0	913.5	2417.0	5.0	286.75	668.0	1234.5	1906.0
