id	Rotation	Yield	shannon
#q2:types	categorical	categorical	numeric
U.T1.R1.S1	CC	High	6.59481977042488
U.T1.R1.S2	CC	High	5.49209957054543
U.T1.R1.S3	CC	High	6.37753054844243
U.T1.R2.S1	CC	High	6.79338534445625
U.T1.R2.S3	CC	High	6.43927023199022
U.T1.R3.S1	CC	High	6.10508189171195
U.T1.R3.S2	CC	High	6.79625644546722
U.T1.R3.S3	CC	High	6.77984791573253
U.T1.R4.S1	CC	High	6.88717057561947
U.T1.R4.S2	CC	High	6.89105719940088
U.T1.R4.S3	CC	High	7.03830652332687
U.T2.R1.S1	CCS	Medium-High	6.46668914300489
U.T2.R1.S2	CCS	Medium-High	6.91771288264106
U.T2.R1.S3	CCS	Medium-High	6.04423444992066
U.T2.R2.S1	CCS	Medium-High	6.80788898745666
U.T2.R2.S2	CCS	Medium-High	6.76127911354853
U.T2.R2.S3	CCS	Medium-High	6.64930026427239
U.T2.R3.S1	CCS	Medium-High	6.87644560630236
U.T2.R3.S2	CCS	Medium-High	7.098774116923
U.T2.R3.S3	CCS	Medium-High	6.02150124958264
U.T2.R4.S1	CCS	Medium-High	6.29130789134259
U.T2.R4.S2	CCS	Medium-High	6.73808934933406
U.T2.R4.S3	CCS	Medium-High	6.77790371549884
U.T3.R1.S1	CS	Medium-Low	6.63874495681912
U.T3.R1.S2	CS	Medium-Low	6.58207187159631
U.T3.R1.S3	CS	Medium-Low	6.73843601649037
U.T3.R2.S1	CS	Medium-Low	6.64331610996075
U.T3.R2.S2	CS	Medium-Low	5.89189159859711
U.T3.R2.S3	CS	Medium-Low	6.68232817120866
U.T3.R3.S1	CS	Medium-Low	6.92394851735709
U.T3.R3.S2	CS	Medium-Low	6.84367298571714
U.T3.R3.S3	CS	Medium-Low	6.12149244020413
U.T3.R4.S1	CS	Medium-Low	6.87952136240776
U.T3.R4.S2	CS	Medium-Low	6.79656065214078
U.T3.R4.S3	CS	Medium-Low	6.9108308389309
U.T4.R1.S1	SCS	Low	6.80941552439897
U.T4.R1.S2	SCS	Low	6.47662344286706
U.T4.R1.S3	SCS	Low	6.95215953383648
U.T4.R2.S1	SCS	Low	6.48219010627437
U.T4.R2.S2	SCS	Low	6.26821996873169
U.T4.R2.S3	SCS	Low	6.62405828077596
U.T4.R3.S1	SCS	Low	6.90481715575383
U.T4.R3.S2	SCS	Low	7.08788168119603
U.T4.R3.S3	SCS	Low	6.27264829463195
U.T4.R4.S1	SCS	Low	6.5619541417112
U.T4.R4.S2	SCS	Low	6.66139291063456
U.T4.R4.S3	SCS	Low	6.64182050207687
