Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	T1	T1	T1	T1	T1	T2	T2	T2	T2	T2	T3	T3	T3	T3	T3	T4	T4	T4	T4	T4
k__Fungi;__;__;__;__;__	165.0	508.25	993.0	1932.75	2475.0	546.0	1966.25	2513.5	2931.0	3097.0	262.0	774.5	1636.5	2406.75	7705.0	1.0	424.5	885.5	1503.0	3900.0
k__Fungi;p__Ascomycota;__;__;__;__	1.0	3.25	13.0	32.75	65.0	1.0	1.0	16.5	33.5	1650.0	1.0	46.5	64.5	96.75	279.0	1.0	30.0	56.5	148.5	176.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;__;__;__	1.0	1.0	3.5	37.75	126.0	1.0	1.0	3.5	35.75	58.0	1.0	1.0	3.0	26.5	57.0	1.0	1.0	35.0	70.0	451.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Macrophomina	1.0	1.0	12.0	50.25	779.0	1.0	38.75	97.5	440.5	1494.0	1.0	1.0	1.0	14.5	347.0	1.0	1.0	3.0	8.5	14.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;__;__	1.0	1.0	1.0	1.0	247.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium	376.0	553.75	849.0	1175.25	3401.0	261.0	504.25	910.0	1557.5	2631.0	21.0	288.0	483.5	644.75	1147.0	1.0	470.75	788.0	1472.5	3331.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;__	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycosphaerella	1.0	1.0	1.0	1.0	19.0	1.0	1.0	1.0	4.75	16.0	1.0	1.0	1.0	1.0	10.0	1.0	1.0	1.0	1.5	20.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Septoria	28.0	69.25	89.5	120.5	420.0	14.0	16.5	46.5	84.5	301.0	1.0	21.75	49.5	66.5	87.0	1.0	56.5	90.5	130.5	199.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Zymoseptoria	1.0	1.0	1.0	1.0	19.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae;g__Aureobasidium	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;__;__	305.0	413.25	1053.5	1611.25	3672.0	562.0	821.25	1093.5	1266.0	2049.0	43.0	687.75	837.5	1204.5	1976.0	1.0	1197.5	1811.5	2575.75	4700.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Coniothyriaceae;g__Coniothyrium	40.0	98.5	164.5	316.75	532.0	13.0	81.75	146.5	208.0	374.0	1.0	61.75	139.0	203.75	269.0	1.0	86.25	138.5	221.25	369.0
