PPMI_3000,SI491-SI581,PPMI_WES,PPMI_3000^SI491-SI581^PPMI_WES.SN159^554^C4VK0ACXX^5,r1.fq.bz2,r2.fq.bz2,PPMI_3000^SI491-SI581^PPMI_WES
PPMI_3000,SI68-SI106,PPMI_WES,PPMI_3000^SI68-SI106^PPMI_WES.HWI-ST159^526^AC3KFBACXX^1,r1.fq.gz,r2.fq.gz,PPMI_3000^SI68-SI106^PPMI_WES
PPMI_3000,SI68-SI106,PPMI_WES,PPMI_3000^SI68-SI106^PPMI_WES.HWI-ST159^526^AC3KFBACXX^2,r1.fq.gz,r2.fq.gz,PPMI_3000^SI68-SI106^PPMI_WES
PPMI_3000,SI68-SI106,PPMI_WES,PPMI_3000^SI68-SI106^PPMI_WES.HWI-ST159^526^AC3KFBACXX^3,r1.fq.gz,r2.fq.gz,PPMI_3000^SI68-SI106^PPMI_WES
PPMI_3002,SI522-SI432,PPMI_WES,PPMI_3002^SI522-SI432^PPMI_WES.SN159^554^C4VK0ACXX^7,r1.fq.bz2,r2.fq.bz2,PPMI_3002^SI522-SI432^PPMI_WES
PPMI_3002,SI769-SI734,PPMI_WES,PPMI_3002^SI769-SI734^PPMI_WES.HWI-ST159^527^BC3L8BACXX^1,r1.fq.gz,r2.fq.gz,PPMI_3002^SI769-SI734^PPMI_WES
PPMI_3002,SI769-SI734,PPMI_WES,PPMI_3002^SI769-SI734^PPMI_WES.HWI-ST159^527^BC3L8BACXX^2,r1.fq.gz,r2.fq.gz,PPMI_3002^SI769-SI734^PPMI_WES
PPMI_3002,SI769-SI734,PPMI_WES,PPMI_3002^SI769-SI734^PPMI_WES.HWI-ST159^527^BC3L8BACXX^3,r1.fq.gz,r2.fq.gz,PPMI_3002^SI769-SI734^PPMI_WES
PPMI_3003,SI498-SI568,PPMI_WES,PPMI_3003^SI498-SI568^PPMI_WES.SN159^554^C4VK0ACXX^8,r1.fq.bz2,r2.fq.bz2,PPMI_3003^SI498-SI568^PPMI_WES
PPMI_3003,SI762-SI785,PPMI_WES,PPMI_3003^SI762-SI785^PPMI_WES.HWI-ST159^527^BC3L8BACXX^4,r1.fq.gz,r2.fq.gz,PPMI_3003^SI762-SI785^PPMI_WES
PPMI_3003,SI762-SI785,PPMI_WES,PPMI_3003^SI762-SI785^PPMI_WES.HWI-ST159^527^BC3L8BACXX^5,r1.fq.gz,r2.fq.gz,PPMI_3003^SI762-SI785^PPMI_WES
PPMI_3003,SI762-SI785,PPMI_WES,PPMI_3003^SI762-SI785^PPMI_WES.HWI-ST159^527^BC3L8BACXX^6,r1.fq.gz,r2.fq.gz,PPMI_3003^SI762-SI785^PPMI_WES
PPMI_3004,SI417-SI551,PPMI_WES,PPMI_3004^SI417-SI551^PPMI_WES.SN159^554^C4VK0ACXX^8,r1.fq.bz2,r2.fq.bz2,PPMI_3004^SI417-SI551^PPMI_WES
PPMI_3004,SI729-SI781,PPMI_WES,PPMI_3004^SI729-SI781^PPMI_WES.HWI-ST159^527^BC3L8BACXX^4,r1.fq.gz,r2.fq.gz,PPMI_3004^SI729-SI781^PPMI_WES
