Samples	POX_C	B_glucosidase	Protein
M.T1.R1.S1.16S.S50	869.153225806452	1.90612612612613	6284.21052631579
M.T1.R1.S2.16S.S62	841.409274193548	1.60509009009009	6250.52631578947
M.T1.R1.S3.16S.S74	720.344758064516	1.42864864864865	6103.15789473684
M.T1.R2.S1.16S.S86	828.798387096774	1.82355855855856	6280
M.T1.R2.S2.16S.S3	904.46370967742	1.76761261261261	6275.78947368421
M.T1.R2.S3.16S.S15	773.310483870968	1.34855855855856	4368.42105263158
M.T1.R3.S1.16S.S27	793.487903225806	1.37504504504504	1240
M.T1.R3.S2.16S.S39	874.197580645161	1.5863963963964	6191.57894736842
M.T1.R3.S3.16S.S51	900.932661290323	1.1290990990991	5745.26315789474
M.T1.R4.S1.16S.S63	778.354838709677	1.4686036036036	6970.52631578947
M.T1.R4.S2.16S.S75	785.921370967742	1.49554054054054	6621.05263157895
M.T1.R4.S3.16S.S87	715.300403225806	1.18752252252252	7770.52631578947
M.T2.R1.S1.16S.S53	604.324596774193	1.148042	5930.52631578947
M.T2.R1.S2.16S.S65	647.201612903226	0.889145	4781.05263157895
M.T2.R1.S3.16S.S77	927.163306451613	1.106239	5206.31578947368
M.T2.R2.S1.16S.S89	712.778225806451	1.489359	5012.63157894737
M.T2.R2.S2.16S.S6	755.655241935484	1.217625	5101.05263157895
M.T2.R2.S3.16S.S18	909.508064516129	1.485726	4696.84210526316
M.T2.R3.S1.16S.S30	654.76814516129	1.278875	4309.47368421053
M.T2.R3.S2.16S.S42	779.86814516129	1.518458	5623.15789473684
M.T2.R3.S3.16S.S54	739.513306451613	1.230333	6216.84210526316
M.T2.R4.S1.16S.S66	667.379032258064	1.204708	6646.31578947368
M.T2.R4.S2.16S.S78	707.733870967742	1.259708	6322.1052631579
M.T2.R4.S3.16S.S90	722.866935483871	1.075125	5265.26315789474
M.T3.R1.S1.16S.S56	579.94522983871	1.915044	6360
M.T3.R1.S2.16S.S68	440.383064516129	1.679079	5458.94736842105
M.T3.R1.S3.16S.S80	482.417673387097	1.760658	5488.42105263158
M.T3.R2.S1.16S.S92	687.556451612903	2.017018	6018.94736842105
M.T3.R2.S2.16S.S9	664.014447580645	1.814167	5193.68421052632
M.T3.R2.S3.16S.S21	553.038641129032	1.872061	3837.8947368421
M.T3.R3.S1.16S.S33	518.570564516129	1.304518	2802.10526315789
M.T3.R3.S2.16S.S45	674.103157258064	1.422281	6052.63157894737
M.T3.R3.S3.16S.S57	721.187165322581	1.829956	6326.31578947368
M.T3.R4.S1.16S.S69	764.901544354839	1.519211	5867.36842105263
M.T3.R4.S2.16S.S81	638.792673387097	1.567895	5261.05263157895
M.T3.R4.S3.16S.S93	542.949931451613	2.036096	6772.63157894737
M.T4.R1.S1.16S.S59	606.846774193548	1.71807	6183.15789473684
M.T4.R1.S2.16S.S71	632.068548387097	1.707982	5442.1052631579
M.T4.R1.S3.16S.S83	684.191866935484	2.090877	5105.26315789474
M.T4.R2.S1.16S.S95	660.654907258065	1.59636	6010.52631578947
M.T4.R2.S2.16S.S12	695.965391129032	1.725307	5067.36842105263
M.T4.R2.S3.16S.S24	513.526209677419	1.933202	4444.21052631579
M.T4.R3.S1.16S.S36	541.270161290323	1.801404	5425.26315789474
M.T4.R3.S2.16S.S48	595.078294354839	1.529693	5437.89473684211
M.T4.R3.S3.16S.S60	529.501681451613	1.642851	6103.15789473684
M.T4.R4.S1.16S.S72	659.8125	1.651184	5631.57894736842
M.T4.R4.S2.16S.S193	394.983870967742	1.818947	5218.94736842105
M.T4.R4.S3.16S.S203	507.639447580645	1.49	5113.68421052632
