Samples	POX_C	B_glucosidase	Protein
U.T1.R1.S1.16S.S1	679.989919354839	1.06139240506329	7955.78947368421
U.T1.R1.S2.16S.S13	717.822580645161	1.3584388185654	8781.05263157895
U.T1.R1.S3.16S.S25	652.245967741935	0.911603375527426	7063.15789473684
U.T1.R2.S1.16S.S37	574.058467741935	0.921729957805907	7968.42105263158
U.T1.R2.S2.16S.S49	599.280241935484	0.744514767932489	6633.68421052632
U.T1.R2.S3.16S.S61	614.413306451613	0.692616033755274	6397.89473684211
U.T1.R3.S1.16S.S73	674.945564516129	0.769409282700422	4785.26315789474
U.T1.R3.S2.16S.S85	606.846774193548	0.65548523206751	6338.94736842105
U.T1.R3.S3.16S.S2	624.502016129032	0.729324894514768	7934.73684210526
U.T1.R4.S1.16S.S14	677.467741935484	0.983333333333333	6490.52631578947
U.T1.R4.S2.16S.S26	662.334677419355	0.890084388185654	8953.68421052632
U.T1.R4.S3.16S.S38	677.467741935484	1.392194092827	9016.84210526316
U.T2.R1.S1.16S.S4	778.354838709677	0.787466666666667	6541.05263157895
U.T2.R1.S2.16S.S16	869.153225806452	0.6888	7277.89473684211
U.T2.R1.S3.16S.S28	894.375	0.8648	4414.73684210526
U.T2.R2.S1.16S.S40	639.635080645161	0.608577777777778	4924.21052631579
U.T2.R2.S2.16S.S52	859.064516129032	0.664577777777778	4317.89473684211
U.T2.R2.S3.16S.S64	738	0.863022222222222	5576.84210526316
U.T2.R3.S1.16S.S76	876.719758064516	1.02746666666667	5341.05263157895
U.T2.R3.S2.16S.S88	846.453629032258	0.964355555555556	2477.89473684211
U.T2.R3.S3.16S.S5	611.891129032258	1.12502222222222	7189.47368421053
U.T2.R4.S1.16S.S17	859.064516129032	1.20657777777778	7206.31578947368
U.T2.R4.S2.16S.S29	637.112903225806	1.15924444444444	6187.36842105263
U.T2.R4.S3.16S.S41	711.264919354839	1.01213333333333	6073.68421052632
U.T3.R1.S1.16S.S7	504.279907258064	0.913416	7088.42105263158
U.T3.R1.S2.16S.S19	407.594758064516	0.76856	5972.63157894737
U.T3.R1.S3.16S.S31	273.919354838709	0.711564	1021.05263157895
U.T3.R2.S1.16S.S43	571.536290322581	0.775967	6309.47368421053
U.T3.R2.S2.16S.S55	551.358870967742	0.78214	6545.26315789474
U.T3.R2.S3.16S.S67	588.349125	1.009712	4848.42105263158
U.T3.R3.S1.16S.S79	377.328629032258	1.012181	3004.21052631579
U.T3.R3.S2.16S.S91	289.052419354838	0.706214	4524.21052631579
U.T3.R3.S3.16S.S8	707.733870967742	1.22144	5383.15789473684
U.T3.R4.S1.16S.S20	392.461693548387	1.080494	6212.63157894737
U.T3.R4.S2.16S.S32	536.225806451613	0.689547	5774.73684210526
U.T3.R4.S3.16S.S44	677.467741935484	0.74572	8317.8947368421
U.T4.R1.S1.16S.S10	584.989584677419	1.221857	6915.78947368421
U.T4.R1.S2.16S.S22	554.723455645161	1.273333	5589.47368421053
U.T4.R1.S3.16S.S34	894.375	1.044008	5972.63157894737
U.T4.R2.S1.16S.S46	692.600806451613	1.522911	6747.36842105263
U.T4.R2.S2.16S.S58	751.453294354839	1.278608	6448.42105263158
U.T4.R2.S3.16S.S70	568.171705645161	1.424599	5075.78947368421
U.T4.R3.S1.16S.S82	473.171370967742	1.014684	3416.84210526316
U.T4.R3.S2.16S.S94	210.864919354839	0.987679	5480
U.T4.R3.S3.16S.S11	321.840725806451	1.087046	5922.1052631579
U.T4.R4.S1.16S.S23	632.068548387097	1.103924	2587.36842105263
U.T4.R4.S2.16S.S35	674.103157258064	1.198439	5383.15789473684
U.T4.R4.S3.16S.S47	381.530576612903	1.092321	7816.84210526316
