Samples	POX_C	B_glucosidase	Protein
U_T1_R1_S1_ITS_S97	679.989919354839	1.06139240506329	7955.78947368421
U_T1_R1_S2_ITS_S109	717.822580645161	1.3584388185654	8781.05263157895
U_T1_R1_S3_ITS_S121	652.245967741935	0.911603375527426	7063.15789473684
U_T1_R2_S1_ITS_S133	574.058467741935	0.921729957805907	7968.42105263158
U_T1_R2_S3_ITS_S157	614.413306451613	0.692616033755274	6397.89473684211
U_T1_R3_S1_ITS_S169	674.945564516129	0.769409282700422	4785.26315789474
U_T1_R3_S2_ITS_S181	606.846774193548	0.65548523206751	6338.94736842105
U_T1_R3_S3_ITS_S98	624.502016129032	0.729324894514768	7934.73684210526
U_T1_R4_S1_ITS_S110	677.467741935484	0.983333333333333	6490.52631578947
U_T1_R4_S2_ITS_S122	662.334677419355	0.890084388185654	8953.68421052632
U_T1_R4_S3_ITS_S134	677.467741935484	1.392194092827	9016.84210526316
U_T2_R1_S1_ITS_S100	778.354838709677	0.787466666666667	6541.05263157895
U_T2_R1_S2_ITS_S112	869.153225806452	0.6888	7277.89473684211
U_T2_R1_S3_ITS_S124	894.375	0.8648	4414.73684210526
U_T2_R2_S1_ITS_S136	639.635080645161	0.608577777777778	4924.21052631579
U_T2_R2_S2_ITS_S148	859.064516129032	0.664577777777778	4317.89473684211
U_T2_R2_S3_ITS_S160	738	0.863022222222222	5576.84210526316
U_T2_R3_S1_ITS_S172	876.719758064516	1.02746666666667	5341.05263157895
U_T2_R3_S2_ITS_S184	846.453629032258	0.964355555555556	2477.89473684211
U_T2_R3_S3_ITS_S101	611.891129032258	1.12502222222222	7189.47368421053
U_T2_R4_S1_ITS_S113	859.064516129032	1.20657777777778	7206.31578947368
U_T2_R4_S2_ITS_S125	637.112903225806	1.15924444444444	6187.36842105263
U_T2_R4_S3_ITS_S137	711.264919354839	1.01213333333333	6073.68421052632
U_T3_R1_S1_ITS_S103	504.279907258064	0.913416	7088.42105263158
U_T3_R1_S2_ITS_S115	407.594758064516	0.76856	5972.63157894737
U_T3_R1_S3_ITS_S127	273.919354838709	0.711564	1021.05263157895
U_T3_R2_S1_ITS_S139	571.536290322581	0.775967	6309.47368421053
U_T3_R2_S2_ITS_S151	551.358870967742	0.78214	6545.26315789474
U_T3_R2_S3_ITS_S163	588.349125	1.009712	4848.42105263158
U_T3_R3_S1_ITS_S175	377.328629032258	1.012181	3004.21052631579
U_T3_R3_S2_ITS_S187	289.052419354838	0.706214	4524.21052631579
U_T3_R3_S3_ITS_S104	707.733870967742	1.22144	5383.15789473684
U_T3_R4_S1_ITS_S116	392.461693548387	1.080494	6212.63157894737
U_T3_R4_S2_ITS_S128	536.225806451613	0.689547	5774.73684210526
U_T3_R4_S3_ITS_S140	677.467741935484	0.74572	8317.8947368421
U_T4_R1_S1_ITS_S106	584.989584677419	1.221857	6915.78947368421
U_T4_R1_S2_ITS_S118	554.723455645161	1.273333	5589.47368421053
U_T4_R1_S3_ITS_S130	894.375	1.044008	5972.63157894737
U_T4_R2_S1_ITS_S142	692.600806451613	1.522911	6747.36842105263
U_T4_R2_S2_ITS_S154	751.453294354839	1.278608	6448.42105263158
U_T4_R2_S3_ITS_S166	568.171705645161	1.424599	5075.78947368421
U_T4_R3_S1_ITS_S178	473.171370967742	1.014684	3416.84210526316
U_T4_R3_S2_ITS_S190	210.864919354839	0.987679	5480
U_T4_R3_S3_ITS_S107	321.840725806451	1.087046	5922.1052631579
U_T4_R4_S1_ITS_S119	632.068548387097	1.103924	2587.36842105263
U_T4_R4_S2_ITS_S131	674.103157258064	1.198439	5383.15789473684
U_T4_R4_S3_ITS_S143	381.530576612903	1.092321	7816.84210526316
