Type,B Depth,E Depth,1:1 Soil pH,WDRF Buffer pH,1:1 S Salts mmho/cm,Excess Lime,Potassium ppm K,Calcium ppm Ca,Magnesium ppm Mg,Sodium ppm Na,CEC/Sum of Cations me/100g,%H Sat,%K Sat,%Ca Sat,%Mg Sat,%Na Sat
SALINE  BLOCK 1 STRIP 1  PLOT 1,0,6,7.7,7.2,3.01,NONE,185,3751,1743,746,37,0,1,51,39,9
SALINE  BLOCK 1 STRIP 1  PLOT 1,6,12,7.3,7.2,2.23,NONE,165,3238,1403,386,30,0,1,54,39,6
SALINE  BLOCK 1 STRIP  2 PLOT 1,0,6,7.6,7.2,5.65,NONE,194,2927,1942,2307,41.3,0,1,35,39,24
SALINE  BLOCK 1 STRIP  2 PLOT 1,6,12,7.6,7.2,3.48,NONE,176,2720,1821,1305,34.9,0,1,39,43,16
SALINE  BLOCK 1 STRIP 3 PLOT 1,0,6,7,7.2,7.19,NONE,192,2154,2171,3005,42.4,0,1,25,43,31
SALINE  BLOCK 1 STRIP 3 PLOT 1,6,12,7.8,7.2,3.55,NONE,154,1386,1807,1733,29.9,0,1,23,50,25
SALINE  BLOCK 1  STRIP 4 PLOT 1,0,6,6.2,6.7,9.35,NONE,217,2387,2557,3875,53.8,6,1,22,40,31
SALINE  BLOCK 1 STRIP 4 PLOT 1,6,12,7.1,7.2,4.46,NONE,123,1275,1774,2213,31.1,0,1,20,48,31
GOOD  BLOCK 1 STRIP 1  PLOT 1 ,0,6,7.1,7.2,1.21,NONE,194,2200,749,409,19.5,0,3,56,32,9
GOOD  BLOCK 1 STRIP 1  PLOT 1 ,6,12,7.5,7.2,3.02,NONE,182,3739,1749,1190,38.9,0,1,48,37,13
GOOD  BLOCK 1 STRIP  2 PLOT 1,0,6,7.2,7.2,0.73,NONE,373,2939,628,106,21.3,0,4,69,25,2
GOOD  BLOCK 1 STRIP  2 PLOT 1,6,12,7.5,7.2,0.5,NONE,201,3145,702,60,22.4,0,2,70,26,1
GOOD  BLOCK 1 STRIP 3 PLOT 1 ,0,6,6.9,7.2,0.49,NONE,336,2311,514,45,16.9,0,5,68,25,1
GOOD  BLOCK 1 STRIP 3 PLOT 1 ,6,12,7.1,7.2,0.63,NONE,208,3200,607,103,22,0,2,73,23,2
GOOD  BLOCK 1 STRIP 4 PLOT 1 ,0,6,6.4,6.5,0.5,NONE,252,1774,501,115,19.1,26,3,46,22,3
GOOD  BLOCK 1 STRIP 4 PLOT 1 ,6,12,6.2,6.7,0.53,NONE,111,1301,623,328,16.3,18,2,39,32,9
SALINE  BLOCK 2 STRIP 2 PLOT 1,0,6,7.8,7.2,9.94,NONE,213,3066,2450,4871,57.5,0,1,26,36,37
SALINE  BLOCK 2 STRIP 2 PLOT 1,6,12,8.1,7.2,6.05,HIGH,212,7885,1867,3204,69.5,0,1,57,22,20
SALINE  BLOCK 2 STRIP 4 PLOT 1,0,6,7.9,7.2,7.05,NONE,246,3441,1673,3724,48,0,1,36,29,34
SALINE  BLOCK 2 STRIP 4 PLOT 1,6,12,8.1,7.2,5.52,HIGH,203,6113,1554,2654,55.6,0,1,55,23,21
SALINE  BLOCK 2 STRIP 1 PLOT 3,0,6,7.9,7.2,9.01,NONE,199,2341,1740,4270,45.3,0,1,26,32,41
SALINE  BLOCK 2 STRIP 1 PLOT 3,6,12,8.3,7.2,6.46,HIGH,176,6130,1585,3182,58.1,0,1,52,23,24
