Chromosome,Position,rsID,Prokopenko_Nearest_protein-coding gene,Prokopenko_VEP_consequence,Prokopenko_VEP_impact,Prokopenko_VEP_gene_symbol,Allele_frequency_gnomAD_V3,Prokopenko_Discovery_P-value,Prokopenko_Replication_P-value,Prokopenko_Effect direction,Prokopenko_META_P-value
3,131262144,rs79165355,NEK11,intron_variant,MODIFIER,NEK11,0.0585452,0.000017,0.144986,++,0.067249939
3,131255425,rs76316675,NEK11,intron_variant,MODIFIER,NEK11,0.0573239,0.000017,NA,+?,1.70029E-05
3,131263256,rs139398919,NEK11,intron_variant,MODIFIER,NEK11,0.0579656,0.000017,NA,+?,1.70029E-05
3,131275433,rs61211514,NEK11,intron_variant,MODIFIER,NEK11,0.0577778,0.000017,NA,+?,1.70029E-05
3,131275444,rs60162068,NEK11,intron_variant,MODIFIER,NEK11,0.0576171,0.000017,NA,+?,1.70029E-05
3,131296558,rs79346014,NEK11,intron_variant,MODIFIER,NEK11,0.0582498,0.000017,NA,+?,1.70029E-05
3,131318379,rs77049930,NEK11,intron_variant,MODIFIER,NEK11,0.0577697,0.000017,NA,+?,1.70029E-05
3,131319101,rs10934967,NEK11,intron_variant,MODIFIER,NEK11,0.0577412,0.000017,NA,+?,1.70029E-05
3,131321761,rs7643172,NEK11,intron_variant,MODIFIER,NEK11,0.0576378,0.000017,NA,+?,1.70029E-05
3,131343543,rs76392478,NEK11,intron_variant,MODIFIER,NEK11,0.0576456,0.000017,NA,+?,1.70029E-05
3,123569699,rs72968537,HACD2,intron_variant,MODIFIER,HACD2,0.118086,0.00002,0.677703,++,0.368120251
3,123571526,rs2128902,HACD2,intron_variant,MODIFIER,HACD2,0.1354,0.000023,0.119797,++,0.042560248
3,123572316,rs6781874,HACD2,intron_variant,MODIFIER,HACD2,0.135656,0.000023,0.0853966,++,0.028379507
3,123574742,rs34788517,HACD2,intron_variant,MODIFIER,HACD2,0.135914,0.000023,0.119797,++,0.042560248
12,98630940,rs572956240,IKBIP,intron_variant,MODIFIER,IKBIP,0.00697447,0.000023,NA,-?,2.29571E-05
3,123572260,rs12636306,HACD2,intron_variant,MODIFIER,HACD2,0.115619,0.000028,0.119797,++,0.042052523
3,131254081,rs12106964,NEK11,intron_variant,MODIFIER,NEK11,0.0446429,0.000033,NA,+?,3.29582E-05
3,132729776,rs7653420,NPHP3-ACAD11,"intron_variant,non_coding_transcript_variant",MODIFIER,NPHP3-AS1,0.0383702,0.000065,0.119065,++,0.053730862
3,131268097,rs11921126,NEK11,intron_variant,MODIFIER,NEK11,0.0579453,0.000068,NA,+?,6.80508E-05
5,85926635,rs56412109,COX7C,intergenic_variant,MODIFIER,-,0.0791319,0.00007,0.573852,-+,0.881553633
3,144966560,rs185454941,DIPK2A,intergenic_variant,MODIFIER,-,0.0583535,0.000085,0.280451,++,0.15913107
3,131241579,rs16836178,NEK11,intron_variant,MODIFIER,NEK11,0.0454457,0.000089,NA,+?,8.89171E-05
3,131245247,rs77239758,NEK11,intron_variant,MODIFIER,NEK11,0.0448922,0.000089,NA,+?,8.89171E-05
3,131265121,rs7624212,NEK11,intron_variant,MODIFIER,NEK11,0.0446123,0.000089,NA,+?,8.89171E-05
3,131270074,rs75277201,NEK11,intron_variant,MODIFIER,NEK11,0.0451085,0.000089,NA,+?,8.89171E-05
3,131283053,rs6786718,NEK11,intron_variant,MODIFIER,NEK11,0.0450093,0.000089,NA,+?,8.89171E-05
3,131287313,rs114955958,NEK11,intron_variant,MODIFIER,NEK11,0.0451219,0.000089,NA,+?,8.89171E-05
9,84784720,rs75283077,NTRK2,intron_variant,MODIFIER,NTRK2,0.0428657,0.000093,NA,-?,9.30633E-05
9,84786706,rs79082827,NTRK2,intron_variant,MODIFIER,NTRK2,0.0427416,0.000093,NA,-?,9.30633E-05
3,35156087,rs78879940,ARPP21,intergenic_variant,MODIFIER,-,0.0693731,0.000106,NA,+?,0.000106188
2,131545361,rs72864709,CCDC74A,intergenic_variant,MODIFIER,-,0.00385181,0.000108,0.0820247,-+,0.132581367
15,94539077,rs142082687,MCTP2,"intron_variant,non_coding_transcript_variant",MODIFIER,AC009432.2,0.00311002,0.000113,0.887214,++,0.671565813
15,94555759,rs144608327,MCTP2,intergenic_variant,MODIFIER,-,0.00315792,0.000113,0.887214,++,0.671565813
17,82444614,rs112913442,CYBC1,intron_variant,MODIFIER,CYBC1,0.032616,0.000114,NA,-?,0.000113852
3,131458125,rs79500080,MRPL3,downstream_gene_variant,MODIFIER,MRPL3,0.0400916,0.000117,NA,+?,0.000117157
3,131461162,rs138716163,MRPL3,downstream_gene_variant,MODIFIER,MRPL3,0.0391941,0.000117,NA,+?,0.000117157
3,131474187,rs80239307,MRPL3,intron_variant,MODIFIER,MRPL3,0.0406829,0.000117,NA,+?,0.000117157
3,131479703,rs141643922,MRPL3,intron_variant,MODIFIER,MRPL3,0.0406268,0.000117,NA,+?,0.000117157
3,131495781,rs12107006,MRPL3,intron_variant,MODIFIER,MRPL3,0.0396009,0.000117,NA,+?,0.000117157
3,131497216,rs79207982,MRPL3,intron_variant,MODIFIER,MRPL3,0.0384991,0.000117,NA,+?,0.000117157
3,131504346,rs79831153,MRPL3,upstream_gene_variant,MODIFIER,MRPL3,0.0412939,0.000117,NA,+?,0.000117157
3,131513246,rs150741775,MRPL3,"intron_variant,non_coding_transcript_variant",MODIFIER,AC107027.1,0.0399592,0.000117,NA,+?,0.000117157
3,131516267,rs146586298,MRPL3,"intron_variant,non_coding_transcript_variant",MODIFIER,AC107027.1,0.041235,0.000117,NA,+?,0.000117157
6,75037500,rs4406194,COL12A1,intergenic_variant,MODIFIER,-,0.09772,0.000119,0.854621,--,0.59403358
5,82770223,rs142090049,TMEM167A,downstream_gene_variant,MODIFIER,AC008885.2,0.00431022,0.000121,NA,-?,0.000121045
17,53217320,rs554563570,KIF2B,intergenic_variant,MODIFIER,-,0.0252111,0.000122,NA,+?,0.000122036
1,111966026,rs138844839,KCND3,intron_variant,MODIFIER,KCND3,0.00595587,0.000126,0.212464,-+,0.372392932
9,138117379,rs2739259,CACNA1B,intron_variant,MODIFIER,CACNA1B,0.0285603,0.000128,0.773847,+-,0.995212721
2,25706955,rs186440295,ASXL2,intergenic_variant,MODIFIER,-,0.00182612,0.000129,0.10391,--,0.064025823
2,25737404,rs181823742,ASXL2,downstream_gene_variant,MODIFIER,ASXL2,0.00183125,0.000129,0.10391,--,0.064025823
1,93251999,rs558571781,CCDC18,intron_variant,MODIFIER,CCDC18,0.00438115,0.00013,0.322871,--,0.215716061
11,79238082,rs181299543,TENM4,intron_variant,MODIFIER,TENM4,0.00201703,0.000132,0.753595,--,0.617075077
11,79239331,rs369765618,TENM4,intron_variant,MODIFIER,TENM4,0.00202409,0.000132,0.753595,--,0.617075077
11,79253357,rs77314046,TENM4,intron_variant,MODIFIER,TENM4,0.00300191,0.000132,0.57849,--,0.458087336
11,79289998,rs189564191,TENM4,intron_variant,MODIFIER,TENM4,0.003546,0.000132,0.57849,--,0.458087336
17,53196383,rs9915605,KIF2B,intergenic_variant,MODIFIER,-,0.0459241,0.000136,NA,+?,0.000136183
4,33517762,rs1506248,PCDH7,"intron_variant,non_coding_transcript_variant",MODIFIER,AC079772.1,0.006266,0.000138,0.259685,--,0.165137045
3,193830599,rs75504471,OPA1,regulatory_region_variant,MODIFIER,-,0.0116615,0.000142,0.970283,--,0.777176837
9,85989548,rs114065625,NAA35,intron_variant,MODIFIER,NAA35,0.0165503,0.000152,NA,-?,0.000151865
9,86026148,rs76100280,GOLM1,3_prime_UTR_variant,MODIFIER,GOLM1,0.0192386,0.000152,NA,-?,0.000151865
3,39593480,rs6808285,MOBP,regulatory_region_variant,MODIFIER,-,0.0531078,0.000153,0.388474,++,0.255538286
9,138107857,rs148032981,CACNA1B,intron_variant,MODIFIER,CACNA1B,0.0508975,0.000156,NA,+?,0.0001562
7,150980590,rs78059957,KCNH2,upstream_gene_variant,MODIFIER,KCNH2,0.0201477,0.000168,0.550501,++,0.392551148
3,123574257,rs12637817,HACD2,intron_variant,MODIFIER,HACD2,0.126167,0.000171,0.119797,++,0.05165474
7,122633525,rs183274861,CADPS2,intron_variant,MODIFIER,CADPS2,0.00585771,0.000173,0.494201,+-,0.633362122
7,122687937,rs139334347,CADPS2,intron_variant,MODIFIER,CADPS2,0.00584228,0.000173,0.463373,+-,0.598193588
2,149861499,rs2196682,MMADHC,upstream_gene_variant,MODIFIER,LINC01931,0.0287012,0.000173,NA,+?,0.000173341
7,91480861,rs147367497,FZD1,"intron_variant,non_coding_transcript_variant",MODIFIER,AC079760.1,0.00753547,0.000175,0.200899,--,0.150717994
7,20097662,rs75531441,MACC1,"intron_variant,non_coding_transcript_variant",MODIFIER,AC007001.1,0.0381139,0.000177,0.485722,+-,0.705430594
20,23503043,rs16985410,CST8,"intron_variant,non_coding_transcript_variant",MODIFIER,AL109954.2,0.0947555,0.000177,0.899945,+-,0.793321442
20,23504060,rs73901902,CST8,"intron_variant,non_coding_transcript_variant",MODIFIER,AL109954.2,0.102715,0.000177,0.899945,+-,0.793321442
6,134559420,rs191565701,SGK1,"intron_variant,non_coding_transcript_variant",MODIFIER,AL078590.2,0.0118793,0.000184,0.237535,--,0.125522435
6,134560193,rs140031977,SGK1,"intron_variant,non_coding_transcript_variant",MODIFIER,AL078590.2,0.0115819,0.000184,0.225569,--,0.11899638
20,43854856,rs144730157,TOX2,intergenic_variant,MODIFIER,-,0.00451122,0.000184,NA,-?,0.00018402
1,160620367,rs77165084,SLAMF1,intron_variant,MODIFIER,SLAMF1,0.0483186,0.000186,NA,+?,0.000186229
9,138103890,rs58949682,CACNA1B,intron_variant,MODIFIER,CACNA1B,0.0427569,0.000187,NA,+?,0.000186971
9,84148354,rs73476555,SLC28A3,regulatory_region_variant,MODIFIER,-,0.0692258,0.000188,NA,-?,0.000187715
7,12445928,rs7807438,AC013470.2,intergenic_variant,MODIFIER,-,0.0816252,0.000194,NA,-?,0.000193772
7,4950887,rs142849906,MMD2,intron_variant,MODIFIER,MMD2,0.00610737,0.000197,0.842369,-+,0.917962971
12,95833534,rs150994745,SNRPF,"intron_variant,non_coding_transcript_variant",MODIFIER,AC090001.1,0.00579593,0.000198,0.481166,-+,0.667195641
